experiment,dataset,fold,epoch,train_accuracy,validation_accuracy,train_loss,validation_loss
Linéaire — baseline — 64x64,dataset_v1_64x64,0,1,0.3938679245283019,0.3935969868173258,0.6061320754716981,0.6064030131826742
Linéaire — baseline — 64x64,dataset_v1_64x64,0,2,0.3936320754716981,0.3935969868173258,0.6063679245283019,0.6064030131826742
Linéaire — baseline — 64x64,dataset_v1_64x64,0,3,0.3936320754716981,0.3935969868173258,0.6063679245283019,0.6064030131826742
Linéaire — baseline — 64x64,dataset_v1_64x64,0,4,0.3938679245283019,0.3954802259887006,0.6061320754716981,0.6045197740112994
Linéaire — baseline — 64x64,dataset_v1_64x64,0,5,0.3936320754716981,0.3945386064030132,0.6063679245283019,0.6054613935969868
Linéaire — baseline — 64x64,dataset_v1_64x64,1,1,0.3938679245283019,0.3935969868173258,0.6061320754716981,0.6064030131826742
Linéaire — baseline — 64x64,dataset_v1_64x64,1,2,0.3936320754716981,0.3926553672316384,0.6063679245283019,0.6073446327683616
Linéaire — baseline — 64x64,dataset_v1_64x64,1,3,0.39410377358490567,0.3926553672316384,0.6058962264150943,0.6073446327683616
Linéaire — baseline — 64x64,dataset_v1_64x64,1,4,0.3938679245283019,0.3926553672316384,0.6061320754716981,0.6073446327683616
Linéaire — baseline — 64x64,dataset_v1_64x64,1,5,0.3938679245283019,0.3935969868173258,0.6061320754716981,0.6064030131826742
Linéaire — baseline — 64x64,dataset_v1_64x64,2,1,0.39344648750589345,0.39433962264150946,0.6065535124941066,0.6056603773584905
Linéaire — baseline — 64x64,dataset_v1_64x64,2,2,0.39368222536539366,0.39433962264150946,0.6063177746346063,0.6056603773584905
Linéaire — baseline — 64x64,dataset_v1_64x64,2,3,0.39368222536539366,0.39433962264150946,0.6063177746346063,0.6056603773584905
Linéaire — baseline — 64x64,dataset_v1_64x64,2,4,0.39368222536539366,0.39433962264150946,0.6063177746346063,0.6056603773584905
Linéaire — baseline — 64x64,dataset_v1_64x64,2,5,0.39368222536539366,0.39433962264150946,0.6063177746346063,0.6056603773584905
Linéaire — baseline — 64x64,dataset_v1_64x64,3,1,0.39382512373320766,0.3937677053824363,0.6061748762667923,0.6062322946175638
Linéaire — baseline — 64x64,dataset_v1_64x64,3,2,0.3940608060334669,0.392823418319169,0.6059391939665331,0.607176581680831
Linéaire — baseline — 64x64,dataset_v1_64x64,3,3,0.39382512373320766,0.3937677053824363,0.6061748762667923,0.6062322946175638
Linéaire — baseline — 64x64,dataset_v1_64x64,3,4,0.3935894414329484,0.3937677053824363,0.6064105585670516,0.6062322946175638
Linéaire — baseline — 64x64,dataset_v1_64x64,3,5,0.39382512373320766,0.3909348441926346,0.6061748762667923,0.6090651558073654
Linéaire — baseline — 64x64,dataset_v1_64x64,4,1,0.3940608060334669,0.3937677053824363,0.6059391939665331,0.6062322946175638
Linéaire — baseline — 64x64,dataset_v1_64x64,4,2,0.39382512373320766,0.3937677053824363,0.6061748762667923,0.6062322946175638
Linéaire — baseline — 64x64,dataset_v1_64x64,4,3,0.39382512373320766,0.3937677053824363,0.6061748762667923,0.6062322946175638
Linéaire — baseline — 64x64,dataset_v1_64x64,4,4,0.39382512373320766,0.3947119924457035,0.6061748762667923,0.6052880075542966
Linéaire — baseline — 64x64,dataset_v1_64x64,4,5,0.39476785293424466,0.3947119924457035,0.6052321470657553,0.6052880075542966
