experiment,dataset,fold,epoch,hidden_sizes,learning_rate,balanced_train,train_samples,validation_samples,train_accuracy,validation_accuracy,train_loss,validation_loss
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,0,2,64,0.001,True,3399,1062,0.42041776993233304,0.4538606403013183,0.579582230067667,0.5461393596986817
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,0,4,64,0.001,True,3399,1062,0.4389526331273904,0.4661016949152542,0.5610473668726096,0.5338983050847458
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,0,6,64,0.001,True,3399,1062,0.4424830832597823,0.4651600753295669,0.5575169167402176,0.5348399246704332
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,0,8,64,0.001,True,3399,1062,0.47102088849661666,0.4698681732580038,0.5289791115033833,0.5301318267419962
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,0,10,64,0.001,True,3399,1062,0.49514563106796117,0.4764595103578154,0.5048543689320388,0.5235404896421846
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,0,12,64,0.001,True,3399,1062,0.517799352750809,0.4896421845574388,0.482200647249191,0.5103578154425612
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,0,14,64,0.001,True,3399,1062,0.517799352750809,0.480225988700565,0.482200647249191,0.519774011299435
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,0,16,64,0.001,True,3399,1062,0.5528096498970285,0.4971751412429379,0.4471903501029715,0.5028248587570621
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,1,2,64,0.001,True,3399,1062,0.4057075610473669,0.3898305084745763,0.5942924389526332,0.6101694915254237
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,1,4,64,0.001,True,3399,1062,0.3768755516328332,0.3465160075329567,0.6231244483671667,0.6534839924670433
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,1,6,64,0.001,True,3399,1062,0.3954104148278906,0.3549905838041431,0.6045895851721095,0.6450094161958568
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,1,8,64,0.001,True,3399,1062,0.43924683730508973,0.4312617702448211,0.5607531626949103,0.5687382297551788
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,1,10,64,0.001,True,3399,1062,0.46013533392174166,0.4171374764595104,0.5398646660782583,0.5828625235404896
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,1,12,64,0.001,True,3399,1062,0.4769049720506031,0.4322033898305085,0.5230950279493969,0.5677966101694916
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,1,14,64,0.001,True,3399,1062,0.4763165636952045,0.4435028248587571,0.5236834363047955,0.5564971751412429
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,1,16,64,0.001,True,3399,1062,0.47896440129449835,0.4472693032015066,0.5210355987055016,0.5527306967984934
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,2,2,64,0.001,True,3402,1060,0.41534391534391535,0.4367924528301887,0.5846560846560847,0.5632075471698113
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,2,4,64,0.001,True,3402,1060,0.4585537918871252,0.44433962264150945,0.5414462081128748,0.5556603773584905
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,2,6,64,0.001,True,3402,1060,0.45532039976484423,0.45,0.5446796002351557,0.55
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,2,8,64,0.001,True,3402,1060,0.4756025867136978,0.45,0.5243974132863022,0.55
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,2,10,64,0.001,True,3402,1060,0.49059376837154617,0.4339622641509434,0.5094062316284538,0.5660377358490566
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,2,12,64,0.001,True,3402,1060,0.4603174603174603,0.45,0.5396825396825398,0.55
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,2,14,64,0.001,True,3402,1060,0.5038212815990594,0.45660377358490567,0.49617871840094063,0.5433962264150943
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,2,16,64,0.001,True,3402,1060,0.5211640211640212,0.469811320754717,0.47883597883597884,0.530188679245283
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,3,2,64,0.001,True,3402,1059,0.403586125808348,0.4098205854579792,0.596413874191652,0.5901794145420207
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,3,4,64,0.001,True,3402,1059,0.42328042328042326,0.4438149197355996,0.5767195767195767,0.5561850802644004
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,3,6,64,0.001,True,3402,1059,0.43797766019988243,0.43531633616619453,0.5620223398001176,0.5646836638338055
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,3,8,64,0.001,True,3402,1059,0.43621399176954734,0.4542020774315392,0.5637860082304527,0.5457979225684608
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,3,10,64,0.001,True,3402,1059,0.4659024103468548,0.46081208687440983,0.5340975896531452,0.5391879131255901
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,3,12,64,0.001,True,3402,1059,0.4858906525573192,0.4693106704438149,0.5141093474426808,0.5306893295561851
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,3,14,64,0.001,True,3402,1059,0.4991181657848324,0.4730878186968839,0.5008818342151675,0.5269121813031161
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,3,16,64,0.001,True,3402,1059,0.5135214579659024,0.4730878186968839,0.48647854203409757,0.5269121813031161
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,4,2,64,0.001,True,3402,1059,0.4126984126984127,0.3881019830028329,0.5873015873015873,0.6118980169971671
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,4,4,64,0.001,True,3402,1059,0.42680776014109345,0.3833805476864967,0.5731922398589065,0.6166194523135033
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,4,6,64,0.001,True,3402,1059,0.45296884185773073,0.408876298394712,0.5470311581422693,0.5911237016052879
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,4,8,64,0.001,True,3402,1059,0.47677836566725457,0.4154863078375826,0.5232216343327454,0.5845136921624174
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,4,10,64,0.001,True,3402,1059,0.5035273368606702,0.4192634560906516,0.4964726631393298,0.5807365439093484
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,4,12,64,0.001,True,3402,1059,0.4847148736037625,0.4230406043437205,0.5152851263962375,0.5769593956562795
MLP — 1 couche cachée — 64x64,dataset_v1_64x64,4,14,64,0.001,True,3402,1059,0.49559082892416223,0.43531633616619453,0.5044091710758378,0.5646836638338055
