epoch,split,accuracy,dog_pred_count,cat_pred_count,others_pred_count,dog_recall,cat_recall,others_recall,mean_dog_score_on_dog,mean_cat_score_on_dog,mean_others_score_on_dog,mean_dog_score_on_cat,mean_cat_score_on_cat,mean_others_score_on_cat,mean_dog_score_on_others,mean_cat_score_on_others,mean_others_score_on_others
0,mini_train,0.4222222222222222,15,31,44,0.26666666666666666,0.4,0.6,0.23131111393122233,0.6030833648010039,0.6969261700788343,0.2702362955019247,0.5449846686089393,0.7027539741564018,0.14051187422398145,0.4816961227932296,0.7238586794078192
0,probe,0.4666666666666667,4,16,10,0.3,0.7,0.4,0.3609878109359237,0.6532262099169122,0.6855274084297464,0.1341091178577014,0.7284807087402051,0.7464061249750232,0.16019235683675895,0.46544518193484646,0.6815873917067299
1,mini_train,0.4777777777777778,50,7,33,0.7666666666666667,0.06666666666666667,0.6,-0.2307914812142845,-0.5346020328110678,-0.46501449029570785,-0.37322488164555184,-0.5370038877179864,-0.4357826199081915,-0.43658344985699027,-0.49426664721983316,-0.3386356352271815
1,probe,0.43333333333333335,16,4,10,0.7,0.2,0.4,-0.16352598084989362,-0.5582438256524397,-0.5628706347788913,-0.27365438299104305,-0.31456667730266685,-0.3349784853063897,-0.40722748305810275,-0.5349618875105367,-0.4392570882078416
2,mini_train,0.4777777777777778,30,19,41,0.5333333333333333,0.23333333333333334,0.6666666666666666,-0.2758235822796666,-0.4304866352000188,-0.4593600501709017,-0.4683596245045534,-0.39389823702871213,-0.3732984881505377,-0.5141542231758585,-0.3672857153475639,-0.26796075344278225
2,probe,0.43333333333333335,13,6,11,0.5,0.3,0.5,-0.24793098197088365,-0.44833782224478724,-0.52891661190649,-0.3471334505491134,-0.20929081278243794,-0.30289991360679785,-0.4903023749335743,-0.4323923159676631,-0.37933006270590797
3,mini_train,0.5666666666666667,36,18,36,0.7333333333333333,0.3,0.6666666666666666,-0.19171700440170786,-0.4346660346748451,-0.4825948360946456,-0.45884657246689126,-0.3630678922757557,-0.36132281865727156,-0.49994604657412667,-0.34832557642099166,-0.2503098276784957
3,probe,0.4666666666666667,12,9,9,0.5,0.5,0.4,-0.18843389368305813,-0.4257996170112281,-0.5353535160181216,-0.3390487987790932,-0.1935354049209078,-0.300240314366777,-0.47814225381043746,-0.41358014534481286,-0.3679799597462467
4,mini_train,0.5666666666666667,38,18,34,0.7666666666666667,0.3,0.6333333333333333,-0.10258723774300371,-0.4556302693787509,-0.4978308172048636,-0.44264140616524633,-0.35978974231628064,-0.35048780128436263,-0.4851367377274105,-0.35519152871086124,-0.23031953586304602
4,probe,0.43333333333333335,14,6,10,0.6,0.3,0.4,-0.13705616258338268,-0.42684221924612364,-0.5347085374926615,-0.3198531563656039,-0.21128952370454188,-0.2961161371342402,-0.45805249491656425,-0.4101233163076,-0.35446591650106984
5,mini_train,0.6,39,19,32,0.8333333333333334,0.3333333333333333,0.6333333333333333,-0.0339999184409693,-0.4636961726186354,-0.5124912776943373,-0.43986544730769267,-0.32857806687927316,-0.3357678845155377,-0.48606738589051557,-0.33823204089152065,-0.2015902613516716
5,probe,0.4666666666666667,16,6,8,0.7,0.3,0.4,-0.1052839332870866,-0.4214667861506348,-0.5337597059128456,-0.2914261906312141,-0.2238945078830609,-0.2908136014537469,-0.43359670845166576,-0.4031633741466935,-0.34712908867806913
6,mini_train,0.6,40,20,30,0.8333333333333334,0.36666666666666664,0.6,0.010243282955026434,-0.4810918999784219,-0.5299780937260773,-0.43915624969623857,-0.3075048012921332,-0.3312292109139088,-0.48581650687649935,-0.33791059975476434,-0.18761623392967025
6,probe,0.4666666666666667,16,6,8,0.7,0.3,0.4,-0.08502040165537646,-0.4245019010128671,-0.5368272470191287,-0.2888087601659416,-0.23240772826212347,-0.28921515700149036,-0.4103765404110774,-0.406370246007583,-0.34876969921295686
7,mini_train,0.6444444444444445,45,19,26,0.9333333333333333,0.4,0.6,0.04819591851876047,-0.4958840938283725,-0.5427502824870297,-0.43239525452422894,-0.2965226089424556,-0.3309389637663019,-0.4837400724780531,-0.34239150597526613,-0.17444265476440152
7,probe,0.4666666666666667,16,6,8,0.7,0.3,0.4,-0.06796638213430681,-0.4303508458170052,-0.5367101522232197,-0.2911620981336658,-0.24420792049316992,-0.28744976801565014,-0.38589416767159096,-0.4076405618062452,-0.3483555929107257
8,mini_train,0.6777777777777778,45,20,25,0.9666666666666667,0.43333333333333335,0.6333333333333333,0.08279700700563954,-0.5034999127637174,-0.5526270070933055,-0.4275585028733372,-0.28444402791133927,-0.33137598126558604,-0.48768264335436257,-0.34201496100593015,-0.1581633825600495
8,probe,0.4666666666666667,16,6,8,0.7,0.3,0.4,-0.056246635582256246,-0.4319570495218753,-0.5351412540985592,-0.2893340459381181,-0.2504365092132634,-0.28372051633069645,-0.370617305364106,-0.4039521931482404,-0.3429287806973468
9,mini_train,0.6666666666666666,46,20,24,0.9666666666666667,0.43333333333333335,0.6,0.11747152533470104,-0.5125073763258702,-0.56333212177676,-0.4217785239015912,-0.27649223754368735,-0.3354082694050753,-0.4933718215112935,-0.34305032498088145,-0.14343897960506827
9,probe,0.4666666666666667,16,6,8,0.7,0.3,0.4,-0.04139395396037082,-0.4346036281734758,-0.5363040362589566,-0.2818150115241284,-0.25849722941901854,-0.2822979351830731,-0.35811049933768435,-0.4040183835662419,-0.33773192543520286
10,mini_train,0.6888888888888889,46,18,26,0.9666666666666667,0.43333333333333335,0.6666666666666666,0.14933604649822996,-0.5230591607481427,-0.5721926343239845,-0.4191893310039233,-0.2696055613644854,-0.33794595473637173,-0.49979393410842193,-0.344101840485189,-0.12682073988281942
10,probe,0.4666666666666667,16,6,8,0.7,0.3,0.4,-0.025638201188075006,-0.4373067087873256,-0.5374023286193901,-0.2762600288140355,-0.26680862335591565,-0.27948505681628905,-0.3477636665493802,-0.40685419099082887,-0.3306482243294617
11,mini_train,0.7111111111111111,44,19,27,0.9666666666666667,0.4666666666666667,0.7,0.17723176142309674,-0.5342810279616838,-0.5785221092615789,-0.4206249816234299,-0.26152036170611487,-0.33622281415283806,-0.5038192349070986,-0.35016509079917885,-0.1092190104938074
11,probe,0.43333333333333335,16,5,9,0.7,0.2,0.4,-0.011483536644935642,-0.44084443474118273,-0.5369451038856672,-0.2744448792721387,-0.2735488269213522,-0.2737986060292868,-0.34045788699618956,-0.4097240979197803,-0.3205914659984427
12,mini_train,0.7111111111111111,44,19,27,0.9666666666666667,0.4666666666666667,0.7,0.19851285858061535,-0.5412673454998878,-0.5823887064444389,-0.42822893830863545,-0.2476624340096908,-0.3306394039287111,-0.512674613234711,-0.35231072758683124,-0.08710686668927757
12,probe,0.43333333333333335,16,5,9,0.7,0.2,0.4,-0.005875031362980845,-0.4381934992428171,-0.5331354373226245,-0.2754372470654489,-0.27500468415866036,-0.2654606462762807,-0.3391755617114001,-0.40860506476698866,-0.3082494866725539
13,mini_train,0.7222222222222222,45,18,27,1.0,0.4666666666666667,0.7,0.21493481830731437,-0.5432244142065598,-0.5846959034899629,-0.4379767578444059,-0.2298769127795731,-0.32379283741447656,-0.5249749808036603,-0.35158780907780823,-0.06228959058578017
13,probe,0.43333333333333335,16,5,9,0.7,0.2,0.4,-0.00470521832086557,-0.4300785915442911,-0.5275641922251642,-0.2766292653944331,-0.27159190394618093,-0.25649135053590083,-0.34208536810297885,-0.4029699093682516,-0.2948303890435301
14,mini_train,0.7333333333333333,44,18,28,1.0,0.4666666666666667,0.7333333333333333,0.23083564422069416,-0.5426724398606116,-0.5874333639536485,-0.4460614660372519,-0.21119607244576152,-0.3186807047259635,-0.5373914094373966,-0.35214083340468966,-0.03799490298063917
14,probe,0.4,15,6,9,0.6,0.2,0.4,-0.0017055172496642013,-0.4202719866604213,-0.5231573634752019,-0.27458180642456437,-0.26514015915391853,-0.24918071915263362,-0.34594146855975294,-0.39517291115241693,-0.2820685000279002
15,mini_train,0.7333333333333333,44,18,28,1.0,0.4666666666666667,0.7333333333333333,0.2508022994750404,-0.5428053881809511,-0.5924068173795672,-0.4496282275094881,-0.19460443709236516,-0.3174566563739302,-0.547456174784033,-0.3567533966448036,-0.01623453399888397
15,probe,0.4,15,6,9,0.6,0.2,0.4,0.0073916607127926135,-0.4124363307895857,-0.521601230986032,-0.2629196399751769,-0.25848804859122926,-0.24587199595116926,-0.3478158602863277,-0.38914391511827906,-0.2713522974067985
16,mini_train,0.7444444444444445,43,18,29,1.0,0.4666666666666667,0.7666666666666667,0.27215183338330096,-0.5446040179027786,-0.5985999905090825,-0.44917130452278886,-0.1798939826082128,-0.31951266380787924,-0.555763718041331,-0.3652433584247509,0.0038909268194484378
16,probe,0.43333333333333335,16,5,9,0.7,0.2,0.4,0.020650237558137125,-0.4067686368715786,-0.5217386039683395,-0.2392376584982257,-0.25175556810406213,-0.24623979804941637,-0.3485930019744131,-0.3859567022300895,-0.26127223183211423
17,mini_train,0.7555555555555555,43,19,28,1.0,0.5,0.7666666666666667,0.2863499887886155,-0.5492640296280792,-0.6032648945591101,-0.45432093180776395,-0.16881870609602276,-0.32108147380273544,-0.566116633432448,-0.3781413557016918,0.024745190596101675
17,probe,0.4,17,5,8,0.7,0.2,0.3,0.0255377883350889,-0.40616549323191153,-0.5203217127630486,-0.23146724325984458,-0.2517482239513445,-0.24174443269339232,-0.3545991590155157,-0.3865534289203589,-0.24845737059402545
18,mini_train,0.7666666666666667,42,19,29,1.0,0.5,0.8,0.2989396165113535,-0.5537143126841731,-0.6081014278650713,-0.46192599413931573,-0.15836698433016055,-0.3233079194253382,-0.5755468167175277,-0.393171738655848,0.04468302894877473
18,probe,0.4,17,5,8,0.7,0.2,0.3,0.027198316683126222,-0.40701686569373907,-0.5188867532689276,-0.23111738143823102,-0.2544540905197808,-0.23576230183780833,-0.3624628788410232,-0.3879369755670364,-0.23536986240947005
